sample_uid,sample_name,sample_type,collection_latitude,collection_longitude,collection_depth,Site,timepoint,id,Barcode,full_id,collection_date,coral_species,transplant_group,native_site,transplant_site,native_transplant,home_foreign,parent
198221,66DRSS,coral_field,12.06624,-68.86019,5,,T0,66DRSS,B4,66DRSS,22-Jun,Siderastrea siderea,Reef Initial,Reef,None,Initial,Initial,66DRSS
198222,67DRSS,coral_field,12.06624,-68.86019,5,,T0,67DRSS,B5,67DRSS,22-Jun,Siderastrea siderea,Reef Initial,Reef,None,Initial,Initial,67DRSS
198223,68DRSS,coral_field,12.06624,-68.86019,5,,T0,68DRSS,B6,68DRSS,22-Jun,Siderastrea siderea,Reef Initial,Reef,None,Initial,Initial,68DRSS
198224,69DRSS,coral_field,12.06624,-68.86019,5,,T0,69DRSS,B7,69DRSS,22-Jun,Siderastrea siderea,Reef Initial,Reef,None,Initial,Initial,69DRSS
198225,70DRSS,coral_field,12.06624,-68.86019,5,,T0,70DRSS,B8,70DRSS,22-Jun,Siderastrea siderea,Reef Initial,Reef,None,Initial,Initial,70DRSS
198247,A1CW22,coral_field,12.07093,-68.8585,1,,T1,A1CW22,A1,41HBPX,22-Nov,Porites sp.,Bay Native,Bay,Bay,Native,Home,51DBPP
198248,A2CW22,coral_field,12.07093,-68.8585,1,,T1,A2CW22,A2,42HBPX,22-Nov,Porites sp.,Bay Native,Bay,Bay,Native,Home,52DBPP
198249,A3CW22,coral_field,12.07093,-68.8585,1,,T1,A3CW22,A3,43HBPX,22-Nov,Porites sp.,Bay Native,Bay,Bay,Native,Home,53DBPP
198250,A4CW22,coral_field,12.07093,-68.8585,1,,T1,A4CW22,A4,44HBPX,22-Nov,Porites sp.,Bay Native,Bay,Bay,Native,Home,54DBPP
198251,A5CW22,coral_field,12.07093,-68.8585,1,,T1,A5CW22,A5,45HBPX,22-Nov,Porites sp.,Bay Native,Bay,Bay,Native,Home,55DBPP
198252,A6CW22,coral_field,12.07093,-68.8585,1,,T1,A6CW22,A6,46HBPX,22-Nov,Porites sp.,Bay Native,Bay,Bay,Native,Home,56DBPP
198253,A7CW22,coral_field,12.07093,-68.8585,1,,T1,A7CW22,A7,47HBPX,22-Nov,Porites sp.,Bay Native,Bay,Bay,Native,Home,57DBPP
198254,A8CW22,coral_field,12.07093,-68.8585,1,,T1,A8CW22,A8,48HBPX,22-Nov,Porites sp.,Bay Native,Bay,Bay,Native,Home,58DBPP
198255,A9CW22,coral_field,12.07093,-68.8585,1,,T1,A9CW22,A9,49HBPX,22-Nov,Porites sp.,Bay Native,Bay,Bay,Native,Home,59DBPP
198316,F10CW22,coral_field,12.06624,-68.86019,5,,T1,F10CW22,F10,71HRPX,22-Nov,Porites sp.,Reef Native,Reef,Reef,Native,Home,71DRPP
198317,F11CW22,coral_field,12.06624,-68.86019,5,,T1,F11CW22,F11,72HRPX,22-Nov,Porites sp.,Reef Native,Reef,Reef,Native,Home,72DRPP
198318,F12CW22,coral_field,12.06624,-68.86019,5,,T1,F12CW22,F12,73HRPX,22-Nov,Porites sp.,Reef Native,Reef,Reef,Native,Home,73DRPP
198319,G1CW22,coral_field,12.06624,-68.86019,5,,T1,G1CW22,G1,74HRPX,22-Nov,Porites sp.,Reef Native,Reef,Reef,Native,Home,74DRPP
198320,G2CW22,coral_field,12.06624,-68.86019,5,,T1,G2CW22,G2,75HRPX,22-Nov,Porites sp.,Reef Native,Reef,Reef,Native,Home,75DRPP
198321,G3CW22,coral_field,12.06624,-68.86019,5,,T1,G3CW22,G3,76HRPX,22-Nov,Porites sp.,Reef Native,Reef,Reef,Native,Home,76DRPP
198322,G4CW22,coral_field,12.06624,-68.86019,5,,T1,G4CW22,G4,77HRPX,22-Nov,Porites sp.,Reef Native,Reef,Reef,Native,Home,77DRPP
198323,G5CW22,coral_field,12.06624,-68.86019,5,,T1,G5CW22,G5,78HRPX,22-Nov,Porites sp.,Reef Native,Reef,Reef,Native,Home,78DRPP
198324,G6CW22,coral_field,12.06624,-68.86019,5,,T1,G6CW22,G6,79HRPX,22-Nov,Porites sp.,Reef Native,Reef,Reef,Native,Home,79DRPP
198325,G7CW22,coral_field,12.06624,-68.86019,5,,T1,G7CW22,G7,80HRPX,22-Nov,Porites sp.,Reef Native,Reef,Reef,Native,Home,80DRPP
198276,C6CW22,coral_field,12.06624,-68.86019,5,,T1,C6CW22,C6,51FRPX,22-Nov,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,51DBPP
198277,C7CW22,coral_field,12.06624,-68.86019,5,,T1,C7CW22,C7,52FRPX,22-Nov,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,52DBPP
198278,C8CW22,coral_field,12.06624,-68.86019,5,,T1,C8CW22,C8,53FRPX,22-Nov,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,53DBPP
198279,C9CW22,coral_field,12.06624,-68.86019,5,,T1,C9CW22,C9,54FRPX,22-Nov,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,54DBPP
198280,C10CW22,coral_field,12.06624,-68.86019,5,,T1,C10CW22,C10,55FRPX,22-Nov,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,55DBPP
198281,C11CW22,coral_field,12.06624,-68.86019,5,,T1,C11CW22,C11,56FRPX,22-Nov,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,56DBPP
198282,C12CW22,coral_field,12.06624,-68.86019,5,,T1,C12CW22,C12,57FRPX,22-Nov,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,57DBPP
198283,D1CW22,coral_field,12.06624,-68.86019,5,,T1,D1CW22,D1,58FRPX,22-Nov,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,58DBPP
198284,D2CW22,coral_field,12.06624,-68.86019,5,,T1,D2CW22,D2,59FRPX,22-Nov,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,59DBPP
198285,D3CW22,coral_field,12.06624,-68.86019,5,,T1,D3CW22,D3,60FRPX,22-Nov,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,60DBPP
198306,E12CW22,coral_field,12.07093,-68.8585,1,,T1,E12CW22,E12,71FBPX,22-Nov,Porites sp.,Reef Transplant,Reef,Bay,Transplant,Foreign,71DRPP
198307,F1CW22,coral_field,12.07093,-68.8585,1,,T1,F1CW22,F1,72FBPX,22-Nov,Porites sp.,Reef Transplant,Reef,Bay,Transplant,Foreign,72DRPP
198308,F2CW22,coral_field,12.07093,-68.8585,1,,T1,F2CW22,F2,73FBPX,22-Nov,Porites sp.,Reef Transplant,Reef,Bay,Transplant,Foreign,73DRPP
198309,F3CW22,coral_field,12.07093,-68.8585,1,,T1,F3CW22,F3,74FBPX,22-Nov,Porites sp.,Reef Transplant,Reef,Bay,Transplant,Foreign,74DRPP
198310,F4CW22,coral_field,12.07093,-68.8585,1,,T1,F4CW22,F4,75FBPX,22-Nov,Porites sp.,Reef Transplant,Reef,Bay,Transplant,Foreign,75DRPP
198311,F5CW22,coral_field,12.07093,-68.8585,1,,T1,F5CW22,F5,76FBPX,22-Nov,Porites sp.,Reef Transplant,Reef,Bay,Transplant,Foreign,76DRPP
198312,F6CW22,coral_field,12.07093,-68.8585,1,,T1,F6CW22,F6,77FBPX,22-Nov,Porites sp.,Reef Transplant,Reef,Bay,Transplant,Foreign,77DRPP
198313,F7CW22,coral_field,12.07093,-68.8585,1,,T1,F7CW22,F7,78FBPX,22-Nov,Porites sp.,Reef Transplant,Reef,Bay,Transplant,Foreign,78DRPP
198314,F8CW22,coral_field,12.07093,-68.8585,1,,T1,F8CW22,F8,79FBPX,22-Nov,Porites sp.,Reef Transplant,Reef,Bay,Transplant,Foreign,79DRPP
198315,F9CW22,coral_field,12.07093,-68.8585,1,,T1,F9CW22,F9,80FBPX,22-Nov,Porites sp.,Reef Transplant,Reef,Bay,Transplant,Foreign,80DRPP
